,AreaName,District,PinCode,Latitude,Longitude,1st most common venue,2nd most common venue,3rd most common venue,4th most common venue,5th most common venue
0,10 Dwaraka Marg,South West District,110045,28.598530000000004,77.087924,Department Store,Bank,Science Museum,Gym,Fast Food Restaurant
1,10 Sector Dwarka,South West District,110075,28.590611,77.057569,Fast Food Restaurant,Café,Department Store,Indian Restaurant,Electronics Store
2,A1 Block Paschim Vihar Delhi,West District,110063,28.669306,77.09326499999999,Coffee Shop,Hotel,Food Truck,Indian Restaurant,Chinese Restaurant
3,Abul Fazal Enclave,South East Delhi District,110025,28.54637,77.30719899999998,Fast Food Restaurant,Market,Diner,Park,Hotel
4,Abul Fazal Enclave Jamia Nagar,South East Delhi District,110025,28.555496,77.297802,Indian Restaurant,Playground,Arcade,Yoga Studio,Food
5,Abul Fazal Enclave Part 2 New Delhi,South East Delhi District,110025,28.549208,77.299861,Indian Restaurant,Park,Market,Fast Food Restaurant,Flower Shop
6,Aerocity,New Delhi District,110037,28.552016000000005,77.121662,Hotel,Indian Restaurant,Spa,Bed & Breakfast,Hotel Bar
7,Akshardham,East District,110092,28.612331999999995,77.27833,Dessert Shop,Restaurant,Food & Drink Shop,Bus Station,North Indian Restaurant
8,Alaknanda,South East Delhi District,110019,28.52793899999998,77.25015400000001,Restaurant,Coffee Shop,Convenience Store,BBQ Joint,Market
9,Alaknanda Gangotri Enclave,South East Delhi District,110019,28.524452999999998,77.252141,BBQ Joint,Restaurant,Market,Thai Restaurant,Gym
10,Ambica Vihar,West District,110087,28.665092,77.080354,Furniture / Home Store,Asian Restaurant,Indian Restaurant,Mobile Phone Shop,Food
11,Anand Lok,South District,110049,28.557200999999996,77.218116,Stadium,Indian Restaurant,Bar,Spanish Restaurant,Other Great Outdoors
12,Anand Niketan,New Delhi District,110021,28.579844999999995,77.16459499999999,Café,Plaza,University,Snack Place,Bakery
13,Anand Vihar,Shahdara District,110092,28.652633000000005,77.311955,Indian Restaurant,Italian Restaurant,Café,Bus Station,Light Rail Station
14,Antriksh Bhawan,New Delhi District,110001,28.628720000000026,77.22285300000016,Indian Restaurant,Café,Chinese Restaurant,Coffee Shop,Hotel
15,Anupam Garden 10Th Lane,South District,110017,28.51413400000001,77.20850299999998,Coffee Shop,Pub,Falafel Restaurant,Mediterranean Restaurant,Park
16,Arjun Nagar,South District,110029,28.561887999999996,77.19800200000006,Indian Restaurant,Coffee Shop,Café,Restaurant,Bar
17,Ashirwad,West District,110059,28.622128,77.058429,Indian Restaurant,Train Station,Department Store,Bus Station,Bakery
18,Ashok Nagar,West District,110018,28.635974000000008,77.10159599999999,Indian Restaurant,Multiplex,Shopping Mall,Fast Food Restaurant,Donut Shop
19,Ashok Vihar,North West District,110052,28.691599999999998,77.167153,Athletics & Sports,Indian Restaurant,Dessert Shop,Market,Department Store
20,Ashok Vihar Phase-1,North West District,110052,28.691599999999998,77.167153,Athletics & Sports,Indian Restaurant,Dessert Shop,Market,Department Store
21,Ashram,South East Delhi District,110014,28.578916999999997,77.25944700000001,Hotel,Neighborhood,Gym / Fitness Center,Gym,Bakery
22,Aya Nagar,South District,110047,28.475084,77.133169,Hotel,Yoga Studio,Light Rail Station,Furniture / Home Store,Dim Sum Restaurant
23,Azad Apartments,South District,110016,28.542398000000016,77.20163000000001,Café,Indian Restaurant,Coffee Shop,Chinese Restaurant,Bar
24,B K Dutt Colony,South East Delhi District,110003,28.581665999999988,77.215914,Indian Restaurant,Japanese Restaurant,Athletics & Sports,Historic Site,Metro Station
25,B4 Block,North East District,110053,28.699916,77.266174,Weight Loss Center,Men's Store,Yoga Studio,Falafel Restaurant,Frozen Yogurt Shop
26,Babarpur,Shahdara District,110032,28.688691000000002,77.279249,Park,ATM,Ice Cream Shop,Motorcycle Shop,Chocolate Shop
27,Badarpur,South East Delhi District,110044,28.503488999999995,77.300538,Indian Restaurant,Train Station,Light Rail Station,Yoga Studio,Flower Shop
28,Bakkarwala,West District,110041,28.659125,77.016713,ATM,Garden,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant
29,Baldev Park East,East District,110051,28.647966,77.28896799999998,Dessert Shop,Arcade,Gym,Fast Food Restaurant,Bakery
30,Bali Nagar,West District,110015,28.65391499999999,77.12891799999996,Fast Food Restaurant,Pizza Place,Light Rail Station,Shopping Mall,Café
31,Baljeet Nagar,West District,110008,28.653045,77.15715,Train Station,Metro Station,Light Rail Station,Indian Restaurant,Movie Theater
32,Bamnoli,South West District,110077,28.545682,77.031618,Squash Court,Bank,Auto Garage,Yoga Studio,Farmers Market
33,Bamnoli Dwarka Sector 28,South West District,110045,28.596492,77.075086,Department Store,Hobby Shop,Indian Restaurant,Hotel,Flower Shop
34,Bamnoli Sector 28 Dwarka,South West District,110045,28.596492,77.075086,Department Store,Hobby Shop,Indian Restaurant,Hotel,Flower Shop
35,Bamnoli Village Delhi,South West District,110077,28.545682,77.031618,Squash Court,Bank,Auto Garage,Yoga Studio,Farmers Market
36,Bank Colony,Shahdara District,110093,28.70331,77.311683,Tourist Information Center,Print Shop,Yoga Studio,Fried Chicken Joint,French Restaurant
37,Bank Colony Deoli,South District,110062,28.500987,77.224467,Yoga Studio,Shopping Plaza,Chinese Restaurant,Electronics Store,ATM
38,Bank Enclave,East District,110031,28.642002,77.270898,Cupcake Shop,Dessert Shop,Indian Restaurant,Chinese Restaurant,Fast Food Restaurant
39,Baprola,West District,110043,28.641795,77.014447,ATM,Garden,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant
40,Batla House New Delhi,South East Delhi District,110025,28.567446,77.286619,Indian Restaurant,Coffee Shop,Asian Restaurant,Playground,Yoga Studio
41,Bees Sutri Harijan Basti,South District,110062,28.50522,77.197623,Italian Restaurant,Asian Restaurant,Mediterranean Restaurant,Pub,Indian Restaurant
42,Begampur Park,West District,110063,28.67366500000001,77.094644,Coffee Shop,Indian Restaurant,Hotel,Department Store,Food Truck
43,Ber Sarai,New Delhi District,110016,28.54940799999999,77.180933,Café,Indian Restaurant,Flea Market,Shopping Mall,History Museum
44,Bhagat Chandra Hospital,South West District,110045,28.593252,77.081135,Bar,Bank,Science Museum,Hobby Shop,Nightlife Spot
45,Bhagwati Garden,West District,110059,28.621219,77.033078,Metro Station,Asian Restaurant,Light Rail Station,Pizza Place,Yoga Studio
