,AreaName,AvgPrice,Latitude,Longitude,PinCode,District,NormPrice,EconomicCategory,CategoryValue
0,Uttam Nagar,7486.0,28.618535,77.056782,110059,West District,7.169509805985999,Category I,1
1,Uttam Nagar West,6762.32,28.618535,77.056782,110059,West District,6.470488347163142,Category I,1
2,Malviya Nagar,11703.7,28.534883,77.210245,110017,South District,11.243496660503414,Category I,1
3,Laxmi Nagar,11858.86,28.635202,77.283208,110092,East District,11.393369766780987,Category I,1
4,Greater Kailash 1,17797.51,28.548714,77.236102,110048,South East Delhi District,17.129667282863174,Category I,1
5,Saket,13995.16,28.523848,77.206773,110017,South District,13.45687786771409,Category I,1
6,Defence Colony,20939.86,28.573199,77.232795,110024,South East Delhi District,20.16494541840928,Category II,2
7,Safdarjung Enclave,21743.02,28.565741,77.194877,110029,South District,20.940738690115232,Category II,2
8,Vasant Kunj,68576.87,28.51498,77.153245,110070,South District,66.17878057228808,Category IV,4
9,Greater Kailash Ii,16788.9,28.534883,77.241845,110048,South East Delhi District,16.15542447722626,Category I,1
10,Vasant Vihar,48856.77,28.564479,77.161155,110057,New Delhi District,47.13061968607785,Category III,3
11,Dwarka More,50359.58,28.618973,77.031514,110059,South West District,48.58222321047203,Category III,3
12,Panchsheel Park,60449.23,28.543272,77.215076,110017,South District,58.32808030478448,Category III,3
13,Panchsheel Enclave,19538.06,28.543794,77.229476,110017,South District,18.810910097579793,Category I,1
14,Shivalik,19444.44,28.532298,77.206525,110017,South District,18.72048008849429,Category I,1
15,Sarita Vihar,34203.51,28.530896,77.294073,110076,South East Delhi District,32.97665221190334,Category II,2
16,Chhawla,4819.7,28.561283,77.002434,110071,South West District,4.594060829008076,Category I,1
17,Chattarpur,28422.15,28.48533,77.174925,110030,South District,27.392285224864715,Category II,2
18,Khanpur,4519.11,28.509519,77.230424,110062,South District,4.303713078196168,Category I,1
19,Geetanjali Enclave,22596.56,28.530191,77.201991,110017,South District,21.765195322830884,Category II,2
20,Mayur Vihar Phase 1,18115.21,28.598894,77.294371,110091,East District,17.4365420306357,Category I,1
21,New Friends Colony,12636.03,28.565556,77.27041,110025,South East Delhi District,12.144058617037121,Category I,1
22,Burari,5894.39,28.755099,77.199031,110084,Central District,5.632132036699786,Category I,1
23,Sector 19 Dwarka,17552.53,28.576972,77.053127,110075,South West District,16.89303468698872,Category I,1
24,Kalkaji,57796.75,28.541421,77.255747,110019,South East Delhi District,55.765980427630964,Category III,3
25,Sector 12 Dwarka,15714.44,28.594672,77.042238,110078,South West District,15.117575432556233,Category I,1
26,Sector 22 Dwarka,19363.67,28.560631,77.059501,110077,New Delhi District,18.642462230837424,Category I,1
27,Hauz Khas,21539.83,28.549648,77.207748,110016,South District,20.744472149353825,Category II,2
28,Raja Puri,4587.62,28.709453,77.183525,110009,North District,4.369888680871319,Category I,1
29,Sarvodaya Enclave,22216.05,28.537996,77.201102,110017,South District,21.397650751616137,Category II,2
30,Sector 6 Dwarka,13743.8,28.59306,77.065686,110075,South West District,13.214082662803476,Category I,1
31,Sector 23 Dwarka,85241.3,28.56448,77.055066,110077,New Delhi District,82.27538980434007,Category V,5
32,Green Park,24418.68,28.556856,77.203604,110016,South District,23.52522873614934,Category II,2
33,Paschim Vihar,15976.95,28.669306,77.093265,110063,West District,15.371140714387414,Category I,1
34,Greater Kailash,42582.15,28.55346,77.242581,110048,South East Delhi District,41.06979995089231,Category III,3
35,East Of Kailash,14927.57,28.555346,77.247987,110065,South East Delhi District,14.357517098342296,Category I,1
36,Pitampura,19100.53,28.69176,77.120353,110034,North West District,18.388288415512076,Category I,1
37,New Ashok Nagar,5786.14,28.594022,77.30742,110096,East District,5.5275705275830855,Category I,1
38,Mohan Garden,5894.72,28.636866,77.037293,110059,West District,5.632450792339587,Category I,1
39,Sector 10 Dwarka,102339.42,28.58306,77.057824,110075,South West District,98.79091156192388,Category V,5
