,AreaName,District,PinCode,Longitude,Latitude,Cluster,1st most common venue,2nd most common venue,3rd most common venue,4th most common venue,5th most common venue
0,Sadar Bazaar,New Delhi District,110010,77.12055399999998,28.591759,0,ATM,Convenience Store,Mobile Phone Shop,Café,Shoe Store
1,Tigri,South District,110062,77.23832600000001,28.511275,0,ATM,Indian Restaurant,Electronics Store,Plaza,Fast Food Restaurant
2,Deoli Gaon Nai Basti,South District,110062,77.234013,28.505528000000005,0,ATM,Indian Restaurant,Electronics Store,Trail,Athletics & Sports
3,Devli Extention Deoli Gaon Nai Basti,South District,110062,77.234013,28.505528000000005,0,ATM,Indian Restaurant,Electronics Store,Trail,Athletics & Sports
4,Devli Nai Basti,South District,110062,77.234013,28.505528000000005,0,ATM,Indian Restaurant,Electronics Store,Trail,Athletics & Sports
5,Rajinder Nagar,North East District,110094,77.287433,28.703218000000003,0,ATM,Indian Restaurant,Pizza Place,Fabric Shop,Fried Chicken Joint
6,Bindapur,South West District,110059,77.068586,28.610708999999996,0,ATM,Indian Restaurant,Pool,Mobile Phone Shop,Flower Shop
7,Sitapuri,South West District,110059,77.075381,28.607997,0,ATM,Pool,Market,Business Service,Health & Beauty Service
8,Gulabhi Bagh Om Vihar,West District,110059,77.05264,28.626044000000004,0,ATM,Train Station,Bakery,Mobile Phone Shop,Department Store
9,Om Vihar,West District,110059,77.05264,28.626044000000004,0,ATM,Train Station,Bakery,Mobile Phone Shop,Department Store
10,Residential Floor Om Vihar,West District,110059,77.05264,28.626044000000004,0,ATM,Train Station,Bakery,Mobile Phone Shop,Department Store
11,Dlf Phase 5,West District,110059,77.049516,28.628810999999995,0,ATM,Train Station,Bookstore,Health & Beauty Service,Indian Restaurant
12,Shankar Vihar,New Delhi District,110010,77.14623,28.566631,0,Asian Restaurant,Indian Restaurant,Airport Food Court,Dog Run,Yoga Studio
13,Mahavir Enclave,South West District,110045,77.08236,28.596709,0,Bar,Fast Food Restaurant,Department Store,Indian Restaurant,Science Museum
14,Mahavir Enclave Bengali Colony,South West District,110045,77.08236,28.596709,0,Bar,Fast Food Restaurant,Department Store,Indian Restaurant,Science Museum
15,Chattarpur Enclave Phase 2,South District,110074,77.18784700000002,28.500421,0,Café,Food Truck,Resort,Pub,Indian Restaurant
16,Chhattarpur Enclave Phase1,South District,110074,77.191784,28.500326,0,Café,Food Truck,Resort,Pub,Indian Restaurant
17,South Extension,South East Delhi District,110049,77.219909,28.571260999999996,0,Coffee Shop,Indian Restaurant,Market,Pizza Place,Fast Food Restaurant
18,Vikas Puri,West District,110018,77.075727,28.638774,0,Coffee Shop,Pizza Place,Flea Market,Men's Store,Indian Restaurant
19,Vikaspuri,West District,110018,77.075727,28.638774,0,Coffee Shop,Pizza Place,Flea Market,Men's Store,Indian Restaurant
20,Vikaspuri Flyover,West District,110018,77.075727,28.638774,0,Coffee Shop,Pizza Place,Flea Market,Men's Store,Indian Restaurant
21,Bank Enclave,East District,110031,77.270898,28.642002,0,Cupcake Shop,Dessert Shop,Indian Restaurant,Chinese Restaurant,Fast Food Restaurant
22,Paschim Vihar A 1 Block,West District,110063,77.096991,28.678813,0,Department Store,Bakery,Garden,Indian Restaurant,Train Station
23,10 Dwaraka Marg,South West District,110045,77.087924,28.598530000000004,0,Department Store,Bank,Science Museum,Gym,Fast Food Restaurant
24,Nasirpur,South West District,110045,77.087882,28.600232,0,Department Store,Indian Restaurant,Airport Lounge,Bank,Yoga Studio
25,Rishi Nagar,North West District,110034,77.127398,28.686199,0,Department Store,Indian Restaurant,Diner,Train Station,Food
26,South Anarkali Delhi,South District,,77.227055,28.515603,0,Flea Market,Indian Restaurant,Pharmacy,Plaza,Yoga Studio
27,South Delhi,South District,,77.227055,28.515603,0,Flea Market,Indian Restaurant,Pharmacy,Plaza,Yoga Studio
28,South Ex,South District,,77.227055,28.515603,0,Flea Market,Indian Restaurant,Pharmacy,Plaza,Yoga Studio
29,Madangir,South District,110062,77.228583,28.519653999999996,0,Flea Market,Indian Restaurant,Plaza,Sandwich Place,Pharmacy
30,Duggal Housing Complex,South District,110062,77.228906,28.512932999999997,0,Flea Market,Indian Restaurant,Plaza,Trail,Pharmacy
31,Ambica Vihar,West District,110087,77.080354,28.665092,0,Furniture / Home Store,Asian Restaurant,Indian Restaurant,Mobile Phone Shop,Food
32,Mansarovar Park,Shahdara District,110032,77.299151,28.681864,0,Garden,Indian Restaurant,Movie Theater,Train Station,Food
33,Nawada Uttam Nagar,West District,110059,77.056782,28.618535000000005,0,Indian Restaurant,ATM,Bakery,Train Station,Department Store
34,Rajapuri East Uttam Nagar,West District,110059,77.056782,28.618535000000005,0,Indian Restaurant,ATM,Bakery,Train Station,Department Store
35,Residential Flat Uttam Nagar,West District,110059,77.056782,28.618535000000005,0,Indian Restaurant,ATM,Bakery,Train Station,Department Store
36,Residential Floor Uttam Nagar,West District,110059,77.056782,28.618535000000005,0,Indian Restaurant,ATM,Bakery,Train Station,Department Store
37,Residential House Uttam Nagar,West District,110059,77.056782,28.618535000000005,0,Indian Restaurant,ATM,Bakery,Train Station,Department Store
38,Uttam Nagar,West District,110059,77.056782,28.618535000000005,0,Indian Restaurant,ATM,Bakery,Train Station,Department Store
39,Uttam Nagar Nanhey Park,West District,110059,77.056782,28.618535000000005,0,Indian Restaurant,ATM,Bakery,Train Station,Department Store
