,AreaName,District,PinCode,AreaLatitude,AreaLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
0,Uttam Nagar,West District,110059,28.618535,77.056782,Uttam Nagar West Metro Station,28.621728566624,77.05572366714478,Train Station
1,Uttam Nagar,West District,110059,28.618535,77.056782,Litti Haat,28.61653144099039,77.05272195838764,Indian Restaurant
2,Uttam Nagar,West District,110059,28.618535,77.056782,Kali Ghata,28.614097531383084,77.05916440723638,Indian Restaurant
3,Uttam Nagar,West District,110059,28.618535,77.056782,YES Bank ATM,28.61281,77.05932,ATM
4,Uttam Nagar,West District,110059,28.618535,77.056782,Polka's,28.624726212082233,77.06233491012853,Bakery
5,Uttam Nagar,West District,110059,28.618535,77.056782,Reliance Fresh,28.625008226418853,77.06218313263541,Department Store
6,Uttam Nagar West,West District,110059,28.618535,77.056782,Uttam Nagar West Metro Station,28.621728566624,77.05572366714478,Train Station
7,Uttam Nagar West,West District,110059,28.618535,77.056782,Litti Haat,28.61653144099039,77.05272195838764,Indian Restaurant
8,Uttam Nagar West,West District,110059,28.618535,77.056782,Kali Ghata,28.614097531383084,77.05916440723638,Indian Restaurant
9,Uttam Nagar West,West District,110059,28.618535,77.056782,YES Bank ATM,28.61281,77.05932,ATM
10,Uttam Nagar West,West District,110059,28.618535,77.056782,Polka's,28.624726212082233,77.06233491012853,Bakery
11,Uttam Nagar West,West District,110059,28.618535,77.056782,Reliance Fresh,28.625008226418853,77.06218313263541,Department Store
12,Malviya Nagar,South District,110017,28.534883,77.210245,Nazeer,28.5366512218557,77.21182101423967,Asian Restaurant
13,Malviya Nagar,South District,110017,28.534883,77.210245,T'POT,28.53743251744998,77.21041331491391,Café
14,Malviya Nagar,South District,110017,28.534883,77.210245,Starbucks,28.529476603835207,77.20859633041421,Coffee Shop
15,Malviya Nagar,South District,110017,28.534883,77.210245,Dunkin' Donuts,28.536585845301875,77.21170457740932,Donut Shop
16,Malviya Nagar,South District,110017,28.534883,77.210245,Burma Burma,28.532334,77.219184,Burmese Restaurant
17,Malviya Nagar,South District,110017,28.534883,77.210245,Subway,28.533422642814458,77.20855341677142,Sandwich Place
18,Malviya Nagar,South District,110017,28.534883,77.210245,TGI Friday's,28.52846343679983,77.21617818373032,American Restaurant
19,Malviya Nagar,South District,110017,28.534883,77.210245,Cafe Delhi Heights,28.528167121791405,77.21658289576268,American Restaurant
20,Malviya Nagar,South District,110017,28.534883,77.210245,Malviya Nagar Market,28.53550891138699,77.21173679894316,Miscellaneous Shop
21,Malviya Nagar,South District,110017,28.534883,77.210245,Hamleys,28.52845559702558,77.21596450257505,Toy / Game Store
22,Malviya Nagar,South District,110017,28.534883,77.210245,Domino's Pizza,28.534,77.209,Pizza Place
23,Malviya Nagar,South District,110017,28.534883,77.210245,Panchsheel Park,28.54269790619528,77.21282036451436,Garden
24,Malviya Nagar,South District,110017,28.534883,77.210245,"Cafe Coffee Day, Malviya Nagar",28.53604304703309,77.20982228836188,Coffee Shop
25,Malviya Nagar,South District,110017,28.534883,77.210245,The Madpackers' Hostel,28.54299673396243,77.2140335491403,Hostel
26,Malviya Nagar,South District,110017,28.534883,77.210245,Smoke House Deli,28.528044302596136,77.21689335304815,Café
27,Malviya Nagar,South District,110017,28.534883,77.210245,Saket Sports Complex,28.529507264723815,77.20856051019999,Athletics & Sports
28,Malviya Nagar,South District,110017,28.534883,77.210245,Cafe coffee Day,28.53779843973299,77.21263509234821,Coffee Shop
29,Malviya Nagar,South District,110017,28.534883,77.210245,Domino's Pizza,28.528,77.208,Pizza Place
30,Malviya Nagar,South District,110017,28.534883,77.210245,The Visaya,28.54131455246223,77.21247335388706,Hotel
31,Malviya Nagar,South District,110017,28.534883,77.210245,cafe coffee day,28.537923645030208,77.21940575932557,Café
32,Malviya Nagar,South District,110017,28.534883,77.210245,Barista,28.53352121877712,77.20638089485482,Coffee Shop
33,Malviya Nagar,South District,110017,28.534883,77.210245,Barista,28.529497480224983,77.20855164375057,Coffee Shop
34,Malviya Nagar,South District,110017,28.534883,77.210245,Tunday Kababi,28.54054084462822,77.21270147589858,Indian Restaurant
35,Malviya Nagar,South District,110017,28.534883,77.210245,Cafe Rendezvous,28.5413113772963,77.21248395139374,Indian Restaurant
36,Malviya Nagar,South District,110017,28.534883,77.210245,Chili's,28.52846206934754,77.2159125618368,Tex-Mex Restaurant
37,Malviya Nagar,South District,110017,28.534883,77.210245,Pema's,28.534501590202943,77.20723400046695,Chinese Restaurant
38,Malviya Nagar,South District,110017,28.534883,77.210245,Cafe Coffee Day,28.540324791883734,77.21165819794564,Coffee Shop
39,Malviya Nagar,South District,110017,28.534883,77.210245,Gole Chakkar,28.53029771679867,77.20895554950417,Flea Market
40,Malviya Nagar,South District,110017,28.534883,77.210245,"Om book shop, Saket",28.52948298347126,77.2085934427476,Bookstore
41,Malviya Nagar,South District,110017,28.534883,77.210245,Jerry's house,28.533031,77.203823,Café
42,Malviya Nagar,South District,110017,28.534883,77.210245,"Sagar Ratna, Malviya Nagar",28.53709203887816,77.21765418117123,Indian Restaurant
43,Malviya Nagar,South District,110017,28.534883,77.210245,Malviya Nagar Metro Station,28.528696185349638,77.20499664545059,Metro Station
44,Malviya Nagar,South District,110017,28.534883,77.210245,Modern Bazaar,28.53247816790349,77.2186815522748,Grocery Store
45,Malviya Nagar,South District,110017,28.534883,77.210245,Parathe Hi Parathe,28.532564904442445,77.21870962239821,Indian Restaurant
46,Malviya Nagar,South District,110017,28.534883,77.210245,CremeBrew,28.532527819945788,77.21882751684367,Café
47,Malviya Nagar,South District,110017,28.534883,77.210245,Juice Waala Saket,28.527792300180398,77.20602686202716,Juice Bar
48,Malviya Nagar,South District,110017,28.534883,77.210245,The Brown Box,28.541401139779136,77.21584082131382,Bakery
49,Malviya Nagar,South District,110017,28.534883,77.210245,Noodlebox,28.53797,77.219406,Asian Restaurant
50,Malviya Nagar,South District,110017,28.534883,77.210245,Vero Moda,28.528153353583924,77.21668855647417,Clothing Store
51,Malviya Nagar,South District,110017,28.534883,77.210245,Imagine,28.528086,77.216755,Electronics Store
52,Laxmi Nagar,East District,110092,28.635202,77.283208,v3s mall,28.636856146169,77.28536292107172,Arcade
53,Laxmi Nagar,East District,110092,28.635202,77.283208,Pizza Hut,28.63700855933603,77.28631762412246,Pizza Place
54,Laxmi Nagar,East District,110092,28.635202,77.283208,cafe coffee day,28.637653750108345,77.28626065294608,Café
55,Laxmi Nagar,East District,110092,28.635202,77.283208,Bercos,28.63935507318485,77.29120927645869,Chinese Restaurant
56,Laxmi Nagar,East District,110092,28.635202,77.283208,Café Coffee Day,28.628095452607507,77.2819346442222,Coffee Shop
57,Laxmi Nagar,East District,110092,28.635202,77.283208,"V3S Mall, East Center",28.63715376841017,77.28671550750732,Shopping Mall
58,Laxmi Nagar,East District,110092,28.635202,77.283208,Nirmaan Vihar Metro Station,28.636857759427162,77.28659730062625,Light Rail Station
59,Laxmi Nagar,East District,110092,28.635202,77.283208,subway,28.637389824083073,77.28640653372621,Mediterranean Restaurant
60,Laxmi Nagar,East District,110092,28.635202,77.283208,McDonald's,28.637001173140046,77.28683295342701,Fast Food Restaurant
61,Laxmi Nagar,East District,110092,28.635202,77.283208,V3S Mall,28.631342857167073,77.27839965479477,Shopping Mall
62,Laxmi Nagar,East District,110092,28.635202,77.283208,Kaleva,28.641940948355632,77.28169898157509,Dessert Shop
63,Laxmi Nagar,East District,110092,28.635202,77.283208,Curves gym,28.6276471825797,77.27979121890304,Gym
